model,seed,RMSE,MAE,MAPE(%),MASE,RMSSE,mean_RMSE,mean_MAE,mean_MAPE(%),mean_MASE,mean_RMSSE,std_RMSE,std_MAE,std_MAPE(%)
LSTM-FCN,3,3977.372133953595,3131.8465169270835,15.18971200603396,1.2168944192224425,1.108823394508478,4013.7845,3158.8792,15.7155,1.2274,1.119,979.8735,707.9365,3.2014
LSTM-FCN,4,3727.8274624393057,2939.1602376302085,13.827188489840719,1.1420252145312846,1.0392546037514183,4013.7845,3158.8792,15.7155,1.2274,1.119,979.8735,707.9365,3.2014
LSTM-FCN,5,3465.759185641693,2789.84716796875,13.53886834335577,1.0840088844825566,0.9661944458167203,4013.7845,3158.8792,15.7155,1.2274,1.119,979.8735,707.9365,3.2014
LSTM-FCN,6,4951.117717917446,4216.894775390625,21.19792163848577,1.6384952745564576,1.3802870261312952,4013.7845,3158.8792,15.7155,1.2274,1.119,979.8735,707.9365,3.2014
LSTM-FCN,7,3525.3094611687147,2912.1707356770835,15.13615463187383,1.1315383103593086,0.9827960451717577,4013.7845,3158.8792,15.7155,1.2274,1.119,979.8735,707.9365,3.2014
LSTM-FCN,8,6518.589805405468,4638.052978515625,21.604534104320994,1.8021383727167806,1.8172714626663042,4013.7845,3158.8792,15.7155,1.2274,1.119,979.8735,707.9365,3.2014
LSTM-FCN,9,3784.564662418356,3211.2195638020835,16.604377243762887,1.247735208276703,1.0550719657072234,4013.7845,3158.8792,15.7155,1.2274,1.119,979.8735,707.9365,3.2014
LSTM-FCN,10,3796.5777109032574,2403.2607421875,12.729997807271271,0.9337988210143324,1.0584209983727142,4013.7845,3158.8792,15.7155,1.2274,1.119,979.8735,707.9365,3.2014
LSTM-FCN,MEAN,4013.7845,3158.8792,15.7155,1.2274,1.119,4013.7845,3158.8792,15.7155,1.2274,1.119,979.8735,707.9365,3.2014
InceptionTime,1,6312.063661185518,5416.653238932292,25.589749322446444,2.104667346146752,1.759695502314543,3497.9836,2976.1253,14.6703,1.1564,0.9752,1219.5214,1084.324,5.078
InceptionTime,2,4067.2050495238436,3429.3592936197915,16.018751386327555,1.3324944767756965,1.133867276505555,3497.9836,2976.1253,14.6703,1.1564,0.9752,1219.5214,1084.324,5.078
